title
Oldboy
Memories of Murder
Lady Vengeance
Sympathy for Mr. Vengeance
No Other Choice
I Saw The Devil
"Black Coal, Thin Ice"
"The Gangster, The Cop, The Devil"
Ichi The Killer
Battle Royale
Norikos Dinner Table
Cold Fish
The Yellow Sea
Suicide Club
Peppermint Candy
Singapore Sling
Millennium Mambo
An Elephant Sitting Still
The Chaser
Satantango
Fallen Angels
In The Mood For Love
Happy Together
The Killer
Hard Boiled
Sonatine
Cure
Pulse
The Vanishing
Angst
In a Glass Cage
Heat
The Virgin Suicides
Lost in Translation
In The Company of Men
The Conversation
American History X
Tombstone
In Bruges
Fear and Loathing in Las Vegas
Rear Window
SLC Punk
Trainspotting
Irreversible
La Haine
Amelie
Cleo from 5 to 7
Enter The Void
Cache
The Double Life of Veronique
Three Colors: Red
Three Colors: Blue
Three Colors: White
A Short Film About Killing
Man Bites Dog
Lost Highway
Mulholland Drive
Blue Velvet
Inland Empire
Solaris
Stalker
Come and See
Gummo
Belladonna of Sadness
Le Trou
Calvaire
"Clean, Shaven"
Sorcerer
A Prophet
After Hours
Ken Park
Blood Simple
Bicycle Thieves
The 400 Blows
Kamikaze 89
Fitzcarraldo
Tetsuo: The Iron Man
Mississippi Burning
Goodfellas
The Long Goodbye
Videodrome
Ran
Kagemusha
High and Low
Mishima: A Life in Four Chapters
Harakiri
Threads
Kwaidan
The Lives of Others
The Graduate
I Stand Alone
Bad Lieutenant
Mother
Breathless
Still Life
The Seventh Seal
Citizen Kane
Casablanca
Eraserhead
Audition
American Psycho
Donnie Darko
Nightcrawler
Memento
Fight Club
Airplane
The Naked Gun
Police Academy
Stripes
The Killing of a Sacred Deer
The Usual Suspects
The Deer Hunter
Platoon
Full Metal Jacket
Apocalypse Now
Blade Runner
Blade Runner 2049
Nymphomaniac
Eyes Wide Shut
2001: A Space Odyssey
Casino
Leon: The Professional
Seven
Jacob's Ladder
Donnie Brasco
Pi
The Princess Bride
Funny Games
Martyrs
The House That Jack Built
Possession
Antichrist
The Turin Horse
Werckmeister Harmonies
Mirror
Nostalghia
"Paris, Texas"
Days of Being Wild
Long Day's Journey Into Night
Burning
The Wailing
Joint Security Area
New World
A Bittersweet Life
Creepy
Tokyo Sonata
Love Exposure
Thief
Blow Out
Chinatown
The French Connection
Le Samourai
Elevator to the Gallows
Purple Noon
The Talented Mr. Ripley
Persona
The Holy Mountain
El Topo
Santa Sangre
Under the Skin
The Dark Knight
Zodiac
Prisoners
Sicario
No Country for Old Men
Collateral
Mystic River
Shutter Island
Black Swan
The Machinist
Ex Machina
Annihilation
The Prestige
Saving Private Ryan
1917
Dunkirk
Schindler's List
Alien
Aliens
The Matrix
Interstellar
Arrival
Children of Men
Pulp Fiction
The Big Lebowski
American Beauty
Dr. Strangelove
Office Space
City of God
Elite Squad
The Secret in Their Eyes
Tell No One
The Hunt
The Girl with the Dragon Tattoo
Parasite
The Handmaiden
Decision to Leave
Train to Busan
Shoplifters
Drive My Car
Chungking Express
Infernal Affairs
Election
A Better Tomorrow
Raise the Red Lantern
Hero
Repo Man
Raw
Titane
The Lighthouse
Mandy
Climax
8_
La Dolce Vita
The Spirit of the Beehive
The Discreet Charm of the Bourgeoisie
Wings of Desire
The Sacrifice
A Brighter Summer Day
Yi Yi
Dust in the Wind
Goodbye Dragon Inn
The Assassin
Au Hasard Balthazar
Pickpocket
The Leopard
The Red Shoes
Ordet
Perfect Blue
The Skin I Live In
Enemy
The Lobster
Dogtooth
Akira
Ghost in the Shell
Brazil
"The Cook, the Thief, His Wife & Her Lover"
"Synecdoche, New York"
Being John Malkovich
Sunset Boulevard
Double Indemnity
The Third Man
Night of the Hunter
Still Walking
Late Spring
Tokyo Story
Floating Weeds
A Touch of Zen
The Grandmaster
L'Avventura
Blow-Up
The Conformist
Fanny and Alexander
The White Ribbon
Amour
Suspiria
Deep Red
The Color of Pomegranates
Daisies
House
L.A. Confidential
Miller's Crossing
The Killing
Body Heat
Henry: Portrait of a Serial Killer
Uncut Gems
Good Time
The Banshees of Inisherin
First Reformed
Fargo
Bugonia
The Great Dictator
Dog Day Afternoon
Paris Is Burning
The Thin Red Line
Badlands
The New World
Memoria
The Act of Killing
The Look of Silence
Dogville
Breaking the Waves
Safe
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles"
Ivan's Childhood
Andrei Rublev
The Passion of Joan of Arc
King of New York
The Friends of Eddie Coyle
Mean Streets
La Notte
Red Desert
The Passenger
Il Posto
Ugetsu
Sansho the Bailiff
Woman in the Dunes
The Face of Another
Onibaba
Kuroneko
Marketa Lazarova
"Distant Voices, Still Lives"
The Long Day Closes
Taste of Cherry
Close-Up
Where Is the Friend's House?
Bringing Out the Dead
Silence
The King of Comedy
Barry Lyndon
Paths of Glory
2046
Ashes of Time
The Blade
A City of Sadness
Millennium Actress
Paprika
Se7en
The Bitter Tears of Petra von Kant
Ali: Fear Eats the Soul
Fox and His Friends
World on a Wire
Berlin Alexanderplatz
The Marriage of Maria Braun
The Enigma of Kaspar Hauser
"Aguirre, the Wrath of God"
Nosferatu the Vampyre
Stroszek
My Neighbor Totoro
Spirited Away
Nausicaa of the Valley of the Wind
Castle in the Sky
Kiki's Delivery Service
Whisper of the Heart
The Iron Giant
Fantastic Mr. Fox
The Red Balloon
The Triplets of Belleville
